id,bc2,bc1,sample,did
NA20541,102,35,run2_pb,073120
NA20542,103,35,run2_pb,073120
NA20543,104,35,run2_pb,073120
NA20544,97,36,run2_pb,073120
NA20574,105,37,run2_pb,073120
NA20581,98,36,run2_pb,073120
NA20582,105,36,run2_pb,073120
NA20585,106,36,run2_pb,073120
NA20586,101,36,run2_pb,073120
NA20587,102,36,run2_pb,073120
NA20588,103,36,run2_pb,073120
NA20589,104,36,run2_pb,073120
NA20752,97,37,run2_pb,073120
NA20753,98,37,run2_pb,073120
NA20755,106,37,run2_pb,073120
NA20756,101,37,run2_pb,073120
NA20757,102,37,run2_pb,073120
NA20758,103,37,run2_pb,073120
NA20759,104,37,run2_pb,073120
NA20760,97,38,run2_pb,073120
NA20761,98,38,run2_pb,073120
NA20762,105,38,run2_pb,073120
NA20763,106,38,run2_pb,073120
NA20764,101,38,run2_pb,073120
NA20765,102,38,run2_pb,073120
NA20766,103,38,run2_pb,073120
NA20767,104,38,run2_pb,073120
NA20768,97,39,run2_pb,073120
NA20769,98,39,run2_pb,073120
NA20770,105,39,run2_pb,073120
NA20771,106,39,run2_pb,073120
NA20772,101,39,run2_pb,073120
NA20773,102,39,run2_pb,073120
NA20774,103,39,run2_pb,073120
NA20775,104,39,run2_pb,073120
NA20778,97,40,run2_pb,073120
NA20780,98,40,run2_pb,073120
NA20783,105,40,run2_pb,073120
NA20785,106,40,run2_pb,073120
NA20786,101,40,run2_pb,073120
NA20787,102,40,run2_pb,073120
NA20790,103,40,run2_pb,073120
NA20791,104,40,run2_pb,073120
NA20792,97,41,run2_pb,073120
NA20795,98,41,run2_pb,073120
NA20796,105,41,run2_pb,073120
NA20797,106,41,run2_pb,073120
NA20798,101,41,run2_pb,073120
NA20799,102,41,run2_pb,073120
NA20800,103,41,run2_pb,073120
NA20801,104,41,run2_pb,073120
NA20802,97,42,run2_pb,073120
NA20803,98,42,run2_pb,073120
NA20804,105,42,run2_pb,073120
NA20805,106,42,run2_pb,073120
NA20806,101,42,run2_pb,073120
NA20807,102,42,run2_pb,073120
NA20808,103,42,run2_pb,073120
NA20809,104,42,run2_pb,073120
NA20810,97,43,run2_pb,073120
NA20811,98,43,run2_pb,073120
NA20812,105,43,run2_pb,073120
NA20813,106,43,run2_pb,073120
NA20814,101,43,run2_pb,073120
NA20815,102,43,run2_pb,073120
NA20816,103,43,run2_pb,073120
NA20817,104,43,run2_pb,073120
NA20818,97,44,run2_pb,073120
NA20819,98,44,run2_pb,073120
NA20820,105,44,run2_pb,073120
NA20821,106,44,run2_pb,073120
NA20822,101,44,run2_pb,073120
NA20826,102,44,run2_pb,073120
NA20827,103,44,run2_pb,073120
NA20828,104,44,run2_pb,073120
NA20831,97,45,run2_pb,073120
NA20832,98,45,run2_pb,073120
HG00171,97,01,run2_1d2,062919
HG00173,98,01,run2_1d2,062919
HG00174,105,01,run2_1d2,062919
HG00176,106,01,run2_1d2,062919
HG00177,101,01,run2_1d2,062919
HG00178,102,01,run2_1d2,062919
HG00179,103,01,run2_1d2,062919
HG00180,104,01,run2_1d2,062919
HG00181,97,02,run2_1d2,062919
HG00182,98,02,run2_1d2,062919
HG00183,105,02,run2_1d2,062919
HG00185,106,02,run2_1d2,062919
HG00186,101,02,run2_1d2,062919
HG00187,102,02,run2_1d2,062919
HG00188,103,02,run2_1d2,062919
HG00189,104,02,run2_1d2,062919
HG00190,97,03,run2_1d2,062919
HG00266,98,03,run2_1d2,062919
HG00267,105,03,run2_1d2,062919
HG00268,106,03,run2_1d2,062919
HG00269,101,03,run2_1d2,062919
HG00270,102,03,run2_1d2,062919
HG00271,103,03,run2_1d2,062919
HG00272,104,03,run2_1d2,062919
HG00273,97,04,run2_1d2,062919
HG00274,98,04,run2_1d2,062919
HG00275,105,04,run2_1d2,062919
HG00276,106,04,run2_1d2,062919
HG00277,101,04,run2_1d2,062919
HG00278,102,04,run2_1d2,062919
HG00280,103,04,run2_1d2,062919
HG00281,104,04,run2_1d2,062919
HG00282,97,05,run2_1d2,062919
HG00284,98,05,run2_1d2,062919
HG00285,105,05,run2_1d2,062919
HG00306,106,05,run2_1d2,062919
HG00308,101,05,run2_1d2,062919
HG00309,102,05,run2_1d2,062919
HG00310,103,05,run2_1d2,062919
HG00311,104,05,run2_1d2,062919
HG00312,97,06,run2_1d2,062919
HG00313,98,06,run2_1d2,062919
HG00315,105,06,run2_1d2,062919
HG00318,106,06,run2_1d2,062919
HG00319,101,06,run2_1d2,062919
HG00320,102,06,run2_1d2,062919
HG00321,103,06,run2_1d2,062919
HG00323,104,06,run2_1d2,062919
HG00324,97,07,run2_1d2,062919
HG00325,98,07,run2_1d2,062919
HG00326,105,07,run2_1d2,062919
HG00327,106,07,run2_1d2,062919
HG00328,101,07,run2_1d2,062919
HG00329,102,07,run2_1d2,062919
HG00330,103,07,run2_1d2,062919
HG00331,104,07,run2_1d2,062919
HG00332,97,08,run2_1d2,062919
HG00334,98,08,run2_1d2,062919
HG00335,105,08,run2_1d2,062919
HG00336,106,08,run2_1d2,062919
HG00337,101,08,run2_1d2,062919
HG00338,102,08,run2_1d2,062919
HG00339,103,08,run2_1d2,062919
HG00341,104,08,run2_1d2,062919
HG00342,97,09,run2_1d2,062919
HG00343,98,09,run2_1d2,062919
HG00344,105,09,run2_1d2,062919
HG00345,106,09,run2_1d2,062919
HG00346,101,09,run2_1d2,062919
HG00349,102,09,run2_1d2,062919
HG00350,103,09,run2_1d2,062919
HG00351,104,09,run2_1d2,062919
HG00353,97,10,run2_1d2,062919
HG00355,98,10,run2_1d2,062919
HG00356,105,10,run2_1d2,062919
HG00357,106,10,run2_1d2,062919
HG00358,101,10,run2_1d2,062919
HG00359,102,10,run2_1d2,062919
HG00360,103,10,run2_1d2,062919
HG00361,104,10,run2_1d2,062919
HG00362,97,11,run2_1d2,062919
HG00364,98,11,run2_1d2,062919
HG00365,105,11,run2_1d2,062919
HG00366,106,11,run2_1d2,062919
HG00367,101,11,run2_1d2,062919
HG00368,102,11,run2_1d2,062919
HG00369,103,11,run2_1d2,062919
HG00371,104,11,run2_1d2,062919
HG00372,97,12,run2_1d2,062919
HG00373,98,12,run2_1d2,062919
HG00375,105,12,run2_1d2,062919
HG00376,106,12,run2_1d2,062919
HG00377,101,12,run2_1d2,062919
HG00378,102,12,run2_1d2,062919
HG00379,103,12,run2_1d2,062919
HG00380,104,12,run2_1d2,062919
HG00381,97,13,run2_1d2,062919
HG00382,98,13,run2_1d2,062919
HG00383,105,13,run2_1d2,062919
HG00384,106,13,run2_1d2,062919
HG01565,97,14,run2_1d2,062919
HG01565,97,52,run2_1d2,062919
HG01566,98,14,run2_1d2,062919
HG01571,105,14,run2_1d2,062919
HG01572,106,14,run2_1d2,062919
HG01577,101,14,run2_1d2,062919
HG01577,105,52,run2_1d2,062919
HG01578,102,14,run2_1d2,062919
HG01583,97,23,run2_1d2,062919
HG01586,98,23,run2_1d2,062919
HG01589,105,23,run2_1d2,062919
HG01590,106,23,run2_1d2,062919
HG01593,101,23,run2_1d2,062919
HG01892,103,14,run2_1d2,062919
HG01893,104,14,run2_1d2,062919
HG01917,97,15,run2_1d2,062919
HG01918,98,15,run2_1d2,062919
HG01918,102,52,run2_1d2,062919
HG01920,105,15,run2_1d2,062919
HG01921,106,15,run2_1d2,062919
HG01921,103,52,run2_1d2,062919
HG01923,101,15,run2_1d2,062919
HG01923,104,52,run2_1d2,062919
HG01924,102,15,run2_1d2,062919
HG01926,103,15,run2_1d2,062919
HG01927,104,15,run2_1d2,062919
HG01932,97,16,run2_1d2,062919
HG01933,98,16,run2_1d2,062919
HG01933,97,53,run2_1d2,062919
HG01935,105,16,run2_1d2,062919
HG01936,106,16,run2_1d2,062919
HG01938,101,16,run2_1d2,062919
HG01938,105,53,run2_1d2,062919
HG01939,102,16,run2_1d2,062919
HG01941,103,16,run2_1d2,062919
HG01942,104,16,run2_1d2,062919
HG01944,97,17,run2_1d2,062919
HG01945,98,17,run2_1d2,062919
HG01945,102,53,run2_1d2,062919
HG01947,105,17,run2_1d2,062919
HG01948,106,17,run2_1d2,062919
HG01948,103,53,run2_1d2,062919
HG01950,101,17,run2_1d2,062919
HG01950,104,53,run2_1d2,062919
HG01951,102,17,run2_1d2,062919
HG01953,103,17,run2_1d2,062919
HG01954,104,17,run2_1d2,062919
HG01967,97,18,run2_1d2,062919
HG01968,98,18,run2_1d2,062919
HG01968,97,54,run2_1d2,062919
HG01970,105,18,run2_1d2,062919
HG01971,106,18,run2_1d2,062919
HG01971,105,54,run2_1d2,062919
HG01973,101,18,run2_1d2,062919
HG01973,102,54,run2_1d2,062919
HG01974,102,18,run2_1d2,062919
HG01976,103,18,run2_1d2,062919
HG01977,104,18,run2_1d2,062919
HG01979,97,19,run2_1d2,062919
HG01980,98,19,run2_1d2,062919
HG01980,103,54,run2_1d2,062919
HG01982,105,19,run2_1d2,062919
HG01983,106,19,run2_1d2,062919
HG01983,104,54,run2_1d2,062919
HG01991,101,19,run2_1d2,062919
HG01991,97,55,run2_1d2,062919
HG01992,102,19,run2_1d2,062919
HG01997,103,19,run2_1d2,062919
